Tag Code,Release Site Name,Mark Date,Mark DOY,Mark Length mm,Mark Weight g,Release Temp. C,Recap Date,Recap DOY,Recap Site,Recap Length mm,Recap Weight g,Total days,Growth_FL,Growth_Wt
3D9.1BF1303325,Bear Valley Creek,7/24/2002,205,62,3.5,15.5,5/29/2003,149,Little Goose,130,24.1,309,68,20.6
3D9.1BF12F3682,Bear Valley Creek,7/24/2002,205,63,2.9,14.5,4/27/2003,117,Little Goose,95,8.2,277,32,5.3
3D9.1BF12EE2EE,Bear Valley Creek,7/24/2002,205,63,3.9,15.5,5/4/2003,124,Little Goose,117,14.8,284,54,10.9
3D9.1BF12EFA6F,Bear Valley Creek,7/24/2002,205,63,3.7,15.5,6/1/2003,152,Little Goose,113,15.7,312,50,12
3D9.1BF12EDE2C,Bear Valley Creek,7/24/2002,205,64,4.3,15.5,4/24/2003,114,Little Goose,101,10.3,274,37,6
3D9.1BF12F2AA5,Bear Valley Creek,7/24/2002,205,67,3.4,14.5,5/20/2003,140,Little Goose,104,11,300,37,7.6
3D9.1BF13BB5D4,Bear Valley Creek,7/24/2002,205,69,3.9,14.5,4/25/2003,115,Little Goose,113,12.4,275,44,8.5
3D9.1BF13B990B,Bear Valley Creek,7/24/2002,205,76,5.5,14.5,4/27/2003,117,Little Goose,112,12.7,277,36,7.2
3D9.1BF1308B7D,Bear Valley Creek,7/25/2002,206,58,2.8,14,6/2/2003,153,Little Goose,105,11.7,312,47,8.9
3D9.1BF12F382B,Bear Valley Creek,7/25/2002,206,60,2.6,14,4/25/2003,115,Little Goose,92,7.2,274,32,4.6
3D9.1BF12F1B4F,Bear Valley Creek,7/25/2002,206,62,3.4,14,5/28/2003,148,Little Goose,110,15,307,48,11.6
3D9.1BF12F3234,Bear Valley Creek,7/25/2002,206,63,3.5,14,5/4/2003,124,Little Goose,97,9.1,283,34,5.6
3D9.1BF0E0EF1D,Bear Valley Creek,7/25/2002,206,63,2.7,14,5/28/2003,148,Little Goose,114,13.5,307,51,10.8
3D9.1BF0E0D3CB,Bear Valley Creek,7/25/2002,206,69,4.1,14,4/18/2003,108,Little Goose,101,9.6,267,32,5.5
3D9.1BF15E9784,Bear Valley Creek,7/22/2003,203,61,3.3,14,5/25/2004,146,Little Goose,102,10.3,308,41,7
3D9.1BF15E5B33,Bear Valley Creek,7/22/2003,203,62,3,15.5,4/24/2004,115,Little Goose,97,9.3,277,35,6.3
3D9.1BF15E7E1C,Bear Valley Creek,7/22/2003,203,62,3.2,15.5,5/1/2004,122,Little Goose,99,10.3,284,37,7.1
3D9.1BF15D2CF5,Bear Valley Creek,7/22/2003,203,62,2.9,15.5,5/1/2004,122,Little Goose,106,11.7,284,44,8.8
3D9.1BF15D40B7,Bear Valley Creek,7/22/2003,203,62,3.3,15.5,4/19/2004,110,Little Goose,107,12.7,272,45,9.4
3D9.1BF15F3060,Bear Valley Creek,7/22/2003,203,62,2.6,14,5/1/2004,122,Little Goose,112,12.3,284,50,9.7
3D9.1BF15E9E54,Bear Valley Creek,7/22/2003,203,62,2.9,15.5,5/1/2004,122,Little Goose,111,12.7,284,49,9.8
3D9.1BF15F4167,Bear Valley Creek,7/22/2003,203,63,3.1,15.5,4/14/2004,105,Little Goose,104,11.1,267,41,8
3D9.1BF15D45F3,Bear Valley Creek,7/22/2003,203,63,3.2,14,5/29/2004,150,Little Goose,117,17,312,54,13.8
3D9.1BF15F5A0F,Bear Valley Creek,7/22/2003,203,65,2.7,14,4/26/2004,117,Little Goose,100,9.8,279,35,7.1
3D9.1BF15D2E07,Bear Valley Creek,7/22/2003,203,66,3.2,15.5,4/29/2004,120,Little Goose,100,8.6,282,34,5.4
3D9.1BF15DA045,Bear Valley Creek,7/22/2003,203,66,4,14,5/7/2004,128,Little Goose,104,10.4,290,38,6.4
3D9.1BF15D43CF,Bear Valley Creek,7/22/2003,203,66,4,15.5,5/29/2004,150,Little Goose,116,16.5,312,50,12.5
3D9.1BF15DA764,Bear Valley Creek,7/22/2003,203,67,3.7,15.5,5/3/2004,124,Little Goose,107,12.4,286,40,8.7
3D9.1BF15D3010,Bear Valley Creek,7/22/2003,203,70,4.3,15.5,5/7/2004,128,Little Goose,106,11.7,290,36,7.4
3D9.1BF15F4176,Bear Valley Creek,7/22/2003,203,70,5.3,15.5,5/29/2004,150,Little Goose,111,14.8,312,41,9.5
3D9.1BF15D20EB,Bear Valley Creek,7/22/2003,203,71,4,15.5,5/21/2004,142,Little Goose,105,11.3,304,34,7.3
3D9.1BF15EA7F7,Bear Valley Creek,7/22/2003,203,71,4,15.5,5/15/2004,136,Little Goose,105,12.4,298,34,8.4
3D9.1BF15E2D95,Bear Valley Creek,7/22/2003,203,76,6.1,14,5/19/2004,140,Little Goose,109,13.3,302,33,7.2
3D9.1BF15D3984,Bear Valley Creek,7/23/2003,204,55,2.1,16,5/11/2004,132,Little Goose,101,9.9,293,46,7.8
3D9.1BF15E8CA9,Bear Valley Creek,7/23/2003,204,55,2.5,16,5/29/2004,150,Little Goose,116,17.5,311,61,15
3D9.1BF15E5BA5,Bear Valley Creek,7/23/2003,204,56,2.3,16,5/31/2004,152,Little Goose,101,11.2,313,45,8.9
3D9.1BF15D793A,Bear Valley Creek,7/23/2003,204,56,2.2,16,5/3/2004,124,Little Goose,111,11.9,285,55,9.7
3D9.1BF15F0D0E,Bear Valley Creek,7/23/2003,204,58,2.6,16,6/5/2004,157,Little Goose,108,12.3,318,50,9.7
